fixture_id,home_corners,away_corners,Union St. Gilloise_Shots on Goal,Union St. Gilloise_Shots off Goal,Union St. Gilloise_Total Shots,Union St. Gilloise_Blocked Shots,Union St. Gilloise_Shots insidebox,Union St. Gilloise_Shots outsidebox,Union St. Gilloise_Fouls,Union St. Gilloise_Corner Kicks,Union St. Gilloise_Offsides,Union St. Gilloise_Ball Possession,Union St. Gilloise_Yellow Cards,Union St. Gilloise_Red Cards,Union St. Gilloise_Goalkeeper Saves,Union St. Gilloise_Total passes,Union St. Gilloise_Passes accurate,Union St. Gilloise_Passes %,Union St. Gilloise_expected_goals,Anderlecht_Shots on Goal,Anderlecht_Shots off Goal,Anderlecht_Total Shots,Anderlecht_Blocked Shots,Anderlecht_Shots insidebox,Anderlecht_Shots outsidebox,Anderlecht_Fouls,Anderlecht_Corner Kicks,Anderlecht_Offsides,Anderlecht_Ball Possession,Anderlecht_Yellow Cards,Anderlecht_Red Cards,Anderlecht_Goalkeeper Saves,Anderlecht_Total passes,Anderlecht_Passes accurate,Anderlecht_Passes %,Anderlecht_expected_goals,home_avg_goals,home_avg_corners,home_avg_xg,home_win_rate,home_draw_rate,home_loss_rate,away_avg_goals,away_avg_corners,away_avg_xg,away_win_rate,away_draw_rate,away_loss_rate,h2h_wins,h2h_draws,h2h_losses,h2h_avg_home_corners,h2h_avg_away_corners,h2h_avg_home_xg,h2h_avg_away_xg,home_missing_impact,away_missing_impact,home_team,away_team,AS Eupen_Shots on Goal,AS Eupen_Shots off Goal,AS Eupen_Total Shots,AS Eupen_Blocked Shots,AS Eupen_Shots insidebox,AS Eupen_Shots outsidebox,AS Eupen_Fouls,AS Eupen_Corner Kicks,AS Eupen_Offsides,AS Eupen_Ball Possession,AS Eupen_Yellow Cards,AS Eupen_Red Cards,AS Eupen_Goalkeeper Saves,AS Eupen_Total passes,AS Eupen_Passes accurate,AS Eupen_Passes %,AS Eupen_expected_goals,KVC Westerlo_Shots on Goal,KVC Westerlo_Shots off Goal,KVC Westerlo_Total Shots,KVC Westerlo_Blocked Shots,KVC Westerlo_Shots insidebox,KVC Westerlo_Shots outsidebox,KVC Westerlo_Fouls,KVC Westerlo_Corner Kicks,KVC Westerlo_Offsides,KVC Westerlo_Ball Possession,KVC Westerlo_Yellow Cards,KVC Westerlo_Red Cards,KVC Westerlo_Goalkeeper Saves,KVC Westerlo_Total passes,KVC Westerlo_Passes accurate,KVC Westerlo_Passes %,KVC Westerlo_expected_goals,Charleroi_Shots on Goal,Charleroi_Shots off Goal,Charleroi_Total Shots,Charleroi_Blocked Shots,Charleroi_Shots insidebox,Charleroi_Shots outsidebox,Charleroi_Fouls,Charleroi_Corner Kicks,Charleroi_Offsides,Charleroi_Ball Possession,Charleroi_Yellow Cards,Charleroi_Red Cards,Charleroi_Goalkeeper Saves,Charleroi_Total passes,Charleroi_Passes accurate,Charleroi_Passes %,Charleroi_expected_goals,OH Leuven_Shots on Goal,OH Leuven_Shots off Goal,OH Leuven_Total Shots,OH Leuven_Blocked Shots,OH Leuven_Shots insidebox,OH Leuven_Shots outsidebox,OH Leuven_Fouls,OH Leuven_Corner Kicks,OH Leuven_Offsides,OH Leuven_Ball Possession,OH Leuven_Yellow Cards,OH Leuven_Red Cards,OH Leuven_Goalkeeper Saves,OH Leuven_Total passes,OH Leuven_Passes accurate,OH Leuven_Passes %,OH Leuven_expected_goals,RWDM_Shots on Goal,RWDM_Shots off Goal,RWDM_Total Shots,RWDM_Blocked Shots,RWDM_Shots insidebox,RWDM_Shots outsidebox,RWDM_Fouls,RWDM_Corner Kicks,RWDM_Offsides,RWDM_Ball Possession,RWDM_Yellow Cards,RWDM_Red Cards,RWDM_Goalkeeper Saves,RWDM_Total passes,RWDM_Passes accurate,RWDM_Passes %,RWDM_expected_goals,Genk_Shots on Goal,Genk_Shots off Goal,Genk_Total Shots,Genk_Blocked Shots,Genk_Shots insidebox,Genk_Shots outsidebox,Genk_Fouls,Genk_Corner Kicks,Genk_Offsides,Genk_Ball Possession,Genk_Yellow Cards,Genk_Red Cards,Genk_Goalkeeper Saves,Genk_Total passes,Genk_Passes accurate,Genk_Passes %,Genk_expected_goals,Antwerp_Shots on Goal,Antwerp_Shots off Goal,Antwerp_Total Shots,Antwerp_Blocked Shots,Antwerp_Shots insidebox,Antwerp_Shots outsidebox,Antwerp_Fouls,Antwerp_Corner Kicks,Antwerp_Offsides,Antwerp_Ball Possession,Antwerp_Yellow Cards,Antwerp_Red Cards,Antwerp_Goalkeeper Saves,Antwerp_Total passes,Antwerp_Passes accurate,Antwerp_Passes %,Antwerp_expected_goals,Cercle Brugge_Shots on Goal,Cercle Brugge_Shots off Goal,Cercle Brugge_Total Shots,Cercle Brugge_Blocked Shots,Cercle Brugge_Shots insidebox,Cercle Brugge_Shots outsidebox,Cercle Brugge_Fouls,Cercle Brugge_Corner Kicks,Cercle Brugge_Offsides,Cercle Brugge_Ball Possession,Cercle Brugge_Yellow Cards,Cercle Brugge_Red Cards,Cercle Brugge_Goalkeeper Saves,Cercle Brugge_Total passes,Cercle Brugge_Passes accurate,Cercle Brugge_Passes %,Cercle Brugge_expected_goals,Gent_Shots on Goal,Gent_Shots off Goal,Gent_Total Shots,Gent_Blocked Shots,Gent_Shots insidebox,Gent_Shots outsidebox,Gent_Fouls,Gent_Corner Kicks,Gent_Offsides,Gent_Ball Possession,Gent_Yellow Cards,Gent_Red Cards,Gent_Goalkeeper Saves,Gent_Total passes,Gent_Passes accurate,Gent_Passes %,Gent_expected_goals,Kortrijk_Shots on Goal,Kortrijk_Shots off Goal,Kortrijk_Total Shots,Kortrijk_Blocked Shots,Kortrijk_Shots insidebox,Kortrijk_Shots outsidebox,Kortrijk_Fouls,Kortrijk_Corner Kicks,Kortrijk_Offsides,Kortrijk_Ball Possession,Kortrijk_Yellow Cards,Kortrijk_Red Cards,Kortrijk_Goalkeeper Saves,Kortrijk_Total passes,Kortrijk_Passes accurate,Kortrijk_Passes %,Kortrijk_expected_goals,Club Brugge KV_Shots on Goal,Club Brugge KV_Shots off Goal,Club Brugge KV_Total Shots,Club Brugge KV_Blocked Shots,Club Brugge KV_Shots insidebox,Club Brugge KV_Shots outsidebox,Club Brugge KV_Fouls,Club Brugge KV_Corner Kicks,Club Brugge KV_Offsides,Club Brugge KV_Ball Possession,Club Brugge KV_Yellow Cards,Club Brugge KV_Red Cards,Club Brugge KV_Goalkeeper Saves,Club Brugge KV_Total passes,Club Brugge KV_Passes accurate,Club Brugge KV_Passes %,Club Brugge KV_expected_goals,KV Mechelen_Shots on Goal,KV Mechelen_Shots off Goal,KV Mechelen_Total Shots,KV Mechelen_Blocked Shots,KV Mechelen_Shots insidebox,KV Mechelen_Shots outsidebox,KV Mechelen_Fouls,KV Mechelen_Corner Kicks,KV Mechelen_Offsides,KV Mechelen_Ball Possession,KV Mechelen_Yellow Cards,KV Mechelen_Red Cards,KV Mechelen_Goalkeeper Saves,KV Mechelen_Total passes,KV Mechelen_Passes accurate,KV Mechelen_Passes %,KV Mechelen_expected_goals,St. Truiden_Shots on Goal,St. Truiden_Shots off Goal,St. Truiden_Total Shots,St. Truiden_Blocked Shots,St. Truiden_Shots insidebox,St. Truiden_Shots outsidebox,St. Truiden_Fouls,St. Truiden_Corner Kicks,St. Truiden_Offsides,St. Truiden_Ball Possession,St. Truiden_Yellow Cards,St. Truiden_Red Cards,St. Truiden_Goalkeeper Saves,St. Truiden_Total passes,St. Truiden_Passes accurate,St. Truiden_Passes %,St. Truiden_expected_goals,Standard Liege_Shots on Goal,Standard Liege_Shots off Goal,Standard Liege_Total Shots,Standard Liege_Blocked Shots,Standard Liege_Shots insidebox,Standard Liege_Shots outsidebox,Standard Liege_Fouls,Standard Liege_Corner Kicks,Standard Liege_Offsides,Standard Liege_Ball Possession,Standard Liege_Yellow Cards,Standard Liege_Red Cards,Standard Liege_Goalkeeper Saves,Standard Liege_Total passes,Standard Liege_Passes accurate,Standard Liege_Passes %,Standard Liege_expected_goals
1038481,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,0.2,0.0,0.8,1.6,5.6,0.0,0.4,0.0,0.6,0,0,0,0,0,0,0,0,0,Antwerp,RWDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,2.0,3.0,2.0,13.0,1.0,1.0,27%,1.0,,3.0,281.0,206.0,73%,0.24,,,,,,,,,,,,,,,,,,3.0,5.0,14.0,6.0,9.0,5.0,4.0,9.0,5.0,73%,0.0,,1.0,741.0,652.0,88%,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038479,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.8,0.0,0.2,0.0,0.8,1.2,3.2,0.0,0.2,0.6,0.2,0,0,0,0,0,0,0,0,0,Genk,St. Truiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,20.0,5.0,15.0,5.0,17.0,5.0,3.0,51%,2.0,,3.0,438.0,349.0,80%,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,16.0,5.0,8.0,8.0,11.0,1.0,3.0,49%,4.0,,4.0,427.0,332.0,78%,1.50,,,,,,,,,,,,,,,,,
1038482,3,2,7.0,7.0,15.0,1.0,9.0,6.0,17.0,2.0,4.0,52%,3.0,0.0,1.0,396.0,227.0,57%,1.59,,,,,,,,,,,,,,,,,,1.6,3.4,0.0,0.4,0.4,0.2,1.8,3.6,0.0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,0,Cercle Brugge,Union St. Gilloise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,6.0,3.0,5.0,1.0,8.0,3.0,4.0,48%,3.0,1.0,5.0,372.0,183.0,49%,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038477,3,4,,,,,,,,,,,,,,,,,,1.0,2.0,8.0,5.0,6.0,2.0,12.0,3.0,3.0,43%,1.0,,2.0,433.0,347.0,80%,0.94,0.8,3.2,0.0,0.2,0.4,0.4,1.0,4.0,0.0,0.2,0.6,0.2,0,0,0,0,0,0,0,0,0,Anderlecht,Club Brugge KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,9.0,1.0,5.0,4.0,11.0,4.0,0.0,57%,1.0,,0.0,570.0,477.0,84%,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038480,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,5.8,0.0,0.8,0.0,0.2,0.8,3.4,0.0,0.2,0.0,0.8,0,0,0,0,0,0,0,0,0,Gent,AS Eupen,3.0,8.0,18.0,7.0,13.0,5.0,16.0,7.0,0.0,56%,4.0,0.0,4.0,510.0,430.0,84%,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,13.0,2.0,10.0,3.0,9.0,3.0,2.0,44%,1.0,1.0,2.0,401.0,333.0,83%,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038453,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,0.2,0.0,0.8,2.2,5.8,0.0,0.8,0.0,0.2,0,0,0,0,0,0,0,0,0,Antwerp,Gent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,14.0,5.0,6.0,8.0,10.0,6.0,2.0,64%,3.0,,2.0,618.0,551.0,89%,0.54,,,,,,,,,,,,,,,,,,2.0,1.0,6.0,3.0,4.0,2.0,4.0,0.0,1.0,36%,1.0,,4.0,359.0,279.0,78%,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038457,3,8,8.0,3.0,17.0,6.0,12.0,5.0,14.0,8.0,5.0,51%,3.0,,4.0,470.0,376.0,80%,1.94,,,,,,,,,,,,,,,,,,1.6,5.6,0.0,0.4,0.0,0.6,1.8,3.6,0.0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,0,RWDM,Union St. Gilloise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,10.0,1.0,9.0,1.0,8.0,3.0,1.0,49%,2.0,,5.0,477.0,373.0,78%,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038458,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,0.2,0.6,0.2,0.6,2.8,0.0,0.2,0.0,0.8,0,0,0,0,0,0,0,0,0,Club Brugge KV,Genk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,14.0,4.0,9.0,5.0,7.0,3.0,1.0,42%,1.0,,2.0,385.0,303.0,79%,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,19.0,10.0,7.0,12.0,16.0,10.0,1.0,58%,4.0,,4.0,512.0,442.0,86%,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038488,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,5.8,0.0,0.6,0.0,0.4,1.6,3.4,0.0,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,Kortrijk,Cercle Brugge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,10.0,5.0,5.0,5.0,19.0,7.0,1.0,54%,1.0,,2.0,401.0,218.0,54%,1.55,,,,,,,,,,,,,,,,,,4.0,2.0,10.0,4.0,8.0,2.0,13.0,3.0,2.0,46%,3.0,,2.0,346.0,177.0,51%,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038492,2,4,,,,,,,,,,,,,,,,,,6.0,6.0,20.0,8.0,11.0,9.0,15.0,4.0,1.0,52%,0.0,,2.0,588.0,502.0,85%,2.25,0.8,3.4,0.0,0.2,0.0,0.8,0.8,3.2,0.0,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,AS Eupen,Anderlecht,3.0,5.0,9.0,1.0,7.0,2.0,11.0,2.0,3.0,48%,1.0,,4.0,538.0,437.0,81%,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038487,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,2.0,0.0,0.4,0.2,0.4,1.0,2.8,0.0,0.0,0.2,0.8,0,0,0,0,0,0,0,0,0,OH Leuven,Standard Liege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,11.0,3.0,5.0,6.0,10.0,6.0,1.0,45%,2.0,,1.0,422.0,342.0,81%,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,14.0,7.0,8.0,6.0,11.0,3.0,8.0,55%,1.0,,4.0,525.0,459.0,87%,1.93
1038491,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,4.8,0.0,0.6,0.0,0.4,1.0,4.0,0.0,0.2,0.0,0.8,0,0,0,0,0,0,0,0,0,KV Mechelen,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,22.0,10.0,16.0,6.0,5.0,13.0,2.0,64%,1.0,,3.0,701.0,629.0,90%,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,14.0,2.0,5.0,9.0,3.0,5.0,3.0,36%,0.0,,4.0,391.0,324.0,83%,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038490,8,7,7.0,2.0,17.0,8.0,12.0,5.0,13.0,8.0,1.0,40%,1.0,,2.0,338.0,267.0,79%,2.37,,,,,,,,,,,,,,,,,,1.8,3.6,0.0,0.8,0.2,0.0,2.2,4.8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Union St. Gilloise,Charleroi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,4.0,1.0,3.0,1.0,13.0,7.0,3.0,60%,2.0,,4.0,519.0,425.0,82%,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038486,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.8,0.0,0.2,0.0,0.8,2.2,6.4,0.0,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,Genk,KVC Westerlo,,,,,,,,,,,,,,,,,,7.0,1.0,10.0,2.0,5.0,5.0,12.0,7.0,0.0,64%,2.0,0.0,3.0,559.0,472.0,84%,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,17.0,3.0,10.0,7.0,7.0,4.0,2.0,36%,2.0,1.0,5.0,313.0,237.0,76%,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038485,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,0.2,0.6,0.2,1.2,3.2,0.0,0.2,0.6,0.2,0,0,0,0,0,0,0,0,0,Club Brugge KV,St. Truiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,20.0,9.0,15.0,5.0,12.0,11.0,2.0,49%,3.0,,2.0,450.0,366.0,81%,1.77,,,,,,,,,,,,,,,,,,3.0,5.0,12.0,4.0,10.0,2.0,8.0,4.0,5.0,51%,1.0,,6.0,479.0,403.0,84%,0.61,,,,,,,,,,,,,,,,,
1038489,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,5.6,0.0,0.4,0.0,0.6,2.2,5.8,0.0,0.8,0.0,0.2,0,0,0,0,0,0,0,0,0,RWDM,Gent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,9.0,3.0,5.0,4.0,9.0,4.0,1.0,48%,3.0,,6.0,479.0,389.0,81%,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,19.0,3.0,11.0,8.0,10.0,4.0,0.0,52%,1.0,,2.0,538.0,442.0,82%,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038500,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,4.8,0.0,1.0,0.0,0.0,1.6,5.6,0.0,0.4,0.0,0.6,0,0,0,0,0,0,0,0,0,Charleroi,RWDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,22.0,9.0,10.0,12.0,9.0,14.0,3.0,59%,1.0,0.0,2.0,465.0,375.0,81%,2.54,,,,,,,,,,,,,,,,,,3.0,2.0,6.0,1.0,3.0,3.0,7.0,2.0,1.0,41%,3.0,1.0,6.0,349.0,251.0,72%,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038497,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,3.4,0.0,0.4,0.4,0.2,1.2,2.0,0.0,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,Cercle Brugge,OH Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,13.0,2.0,11.0,2.0,9.0,6.0,1.0,50%,3.0,,4.0,371.0,245.0,66%,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,18.0,3.0,15.0,3.0,9.0,6.0,2.0,50%,2.0,,3.0,362.0,260.0,72%,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038499,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,6.4,0.0,0.4,0.2,0.4,1.2,5.8,0.0,0.6,0.0,0.4,0,0,0,0,0,0,0,0,0,KVC Westerlo,Kortrijk,,,,,,,,,,,,,,,,,,4.0,3.0,13.0,6.0,11.0,2.0,15.0,1.0,5.0,45%,2.0,,3.0,417.0,319.0,76%,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,13.0,6.0,6.0,7.0,10.0,10.0,4.0,55%,4.0,,2.0,494.0,404.0,82%,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038493,8,1,,,,,,,,,,,,,,,,,,9.0,3.0,19.0,7.0,11.0,8.0,14.0,8.0,0.0,51%,2.0,,2.0,560.0,489.0,87%,2.22,0.8,3.2,0.0,0.2,0.4,0.4,2.2,4.8,0.0,0.6,0.0,0.4,0,0,0,0,0,0,0,0,0,Anderlecht,KV Mechelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,13.0,4.0,3.0,10.0,10.0,1.0,1.0,49%,3.0,,6.0,543.0,479.0,88%,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038494,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.8,0.0,0.0,0.2,0.8,1.0,4.0,0.0,0.2,0.6,0.2,0,0,0,0,0,0,0,0,0,Standard Liege,Club Brugge KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,16.0,5.0,11.0,5.0,14.0,6.0,0.0,66%,1.0,,3.0,555.0,463.0,83%,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,7.0,0.0,6.0,1.0,13.0,1.0,1.0,34%,4.0,,6.0,304.0,205.0,67%,0.49
1038496,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,0.2,0.0,0.8,0.8,3.4,0.0,0.2,0.0,0.8,0,0,0,0,0,0,0,0,0,Antwerp,AS Eupen,2.0,2.0,5.0,1.0,3.0,2.0,10.0,2.0,1.0,36%,2.0,,9.0,379.0,307.0,81%,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,10.0,27.0,5.0,20.0,7.0,8.0,8.0,3.0,64%,0.0,,1.0,680.0,627.0,92%,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
